time,07_wb_mm_month
1850-01-01,26.512029008718073
1850-02-01,23.067251505853022
1850-03-01,11.874336878768595
1850-04-01,-45.05201795469564
1850-05-01,-3.854297104292243
1850-06-01,50.39384920556343
1850-07-01,-69.06368018879236
1850-08-01,-70.98552355507853
1850-09-01,-45.82057249457169
1850-10-01,-18.06082466244265
1850-11-01,13.936032078231046
1850-12-01,76.85284296202805
1851-01-01,36.51054537365992
1851-02-01,19.432916233234053
1851-03-01,-28.33816979946424
1851-04-01,0.1955878771641295
1851-05-01,-30.68385753134274
1851-06-01,-70.94451886144984
1851-07-01,2.501275633249378
1851-08-01,-53.430398398854265
1851-09-01,8.395592526893424
1851-10-01,39.29357285375352
1851-11-01,3.432455950690372
1851-12-01,44.8492890233299
1852-01-01,128.06249198310388
1852-02-01,21.1193757108013
1852-03-01,10.579905765788943
1852-04-01,-39.653315969960516
1852-05-01,-119.29754152603505
1852-06-01,-104.23082488715829
1852-07-01,-103.52404354505569
1852-08-01,-98.8285694073274
1852-09-01,-22.9758246446075
1852-10-01,51.338438932825404
1852-11-01,36.75612789312242
1852-12-01,85.64059232912535
1853-01-01,65.74019211391177
1853-02-01,4.669058088901263
1853-03-01,-7.339825834698729
1853-04-01,-40.81778206530093
1853-05-01,-44.388102817489724
1853-06-01,-107.7456362382809
1853-07-01,-63.83704015440226
1853-08-01,-25.269506579326745
1853-09-01,-6.432060372806646
1853-10-01,-5.615335599319437
1853-11-01,26.26609650526676
1853-12-01,37.64624669493845
1854-01-01,28.27256282831716
1854-02-01,24.04970123974941
1854-03-01,-6.859468442503754
1854-04-01,-27.575146627686436
1854-05-01,8.721372078142721
1854-06-01,-125.7064348109335
1854-07-01,-122.53451297294541
1854-08-01,-71.73748508685456
1854-09-01,-32.05360335764428
1854-10-01,47.973383489461284
1854-11-01,9.790859570628042
1854-12-01,18.815999738888085
1855-01-01,74.27776779098282
1855-02-01,27.006826327208053
1855-03-01,-19.950223689977626
1855-04-01,-54.630610137354225
1855-05-01,-55.425266651554594
1855-06-01,-103.99713572661227
1855-07-01,-22.36063031986481
1855-08-01,-71.41219786509194
1855-09-01,-23.55509017304277
1855-10-01,-5.533923266563939
1855-11-01,46.57029186621051
1855-12-01,35.81923169950383
1856-01-01,57.69747108283997
1856-02-01,-0.03852509008917693
1856-03-01,-7.365626633366674
1856-04-01,-37.41953652103459
1856-05-01,-59.14831822096542
1856-06-01,-68.96058384291993
1856-07-01,-120.83042445881733
1856-08-01,-97.82725935384843
1856-09-01,22.06879654735924
1856-10-01,-16.81445322872044
1856-11-01,33.832454648615304
1856-12-01,56.67324372550239
1857-01-01,61.56538530599412
1857-02-01,26.26249967742414
1857-03-01,-20.308350958915227
1857-04-01,-38.446443459210656
1857-05-01,-23.70027356865262
1857-06-01,-40.470309794740075
1857-07-01,7.600880636604259
