time,07_wb_mm_month
1850-01-01,81.19257544815264
1850-02-01,40.54202678103522
1850-03-01,79.16134612373723
1850-04-01,18.532409609991447
1850-05-01,-45.15562665056299
1850-06-01,5.789826951400585
1850-07-01,-135.4037782163094
1850-08-01,34.16707891544007
1850-09-01,-93.17785190706809
1850-10-01,109.83926800361826
1850-11-01,32.51971578747132
1850-12-01,170.2578781498093
1851-01-01,-1.5886340570828388
1851-02-01,64.05535176697221
1851-03-01,-9.279673575900688
1851-04-01,-17.119980031046865
1851-05-01,-14.775562727480263
1851-06-01,-112.93351463747209
1851-07-01,-26.910727726033855
1851-08-01,-93.10549004821047
1851-09-01,-44.240805644903986
1851-10-01,90.97475220496713
1851-11-01,45.08301027877549
1851-12-01,106.10612426365515
1852-01-01,77.62369480324901
1852-02-01,-0.06393502518064054
1852-03-01,82.99723874090276
1852-04-01,-11.314663105776972
1852-05-01,10.75949890108447
1852-06-01,-73.93752044536743
1852-07-01,21.09983428837228
1852-08-01,-4.733405575833473
1852-09-01,27.363838580484114
1852-10-01,3.638965105823033
1852-11-01,87.99037167506611
1852-12-01,59.79755106379291
1853-01-01,17.93380394302077
1853-02-01,68.48416871834081
1853-03-01,84.98108280326355
1853-04-01,-25.867669136663054
1853-05-01,-128.88549305330773
1853-06-01,-127.08894697732828
1853-07-01,-55.47480349408457
1853-08-01,-98.22491648497112
1853-09-01,-47.97998201567687
1853-10-01,4.789450147796657
1853-11-01,65.3792239836039
1853-12-01,73.85080012839029
1854-01-01,79.94641111116607
1854-02-01,52.53950097947725
1854-03-01,14.578231874961247
1854-04-01,20.741483798289707
1854-05-01,-49.63030119625043
1854-06-01,37.72863712618397
1854-07-01,-126.1437743880802
1854-08-01,-58.170184576635506
1854-09-01,1.2354149525909293
1854-10-01,-51.52209711161768
1854-11-01,66.48982815424665
1854-12-01,41.2549741610064
1855-01-01,29.63133296373419
1855-02-01,-2.81552179291873
1855-03-01,-4.042231466797858
1855-04-01,-12.95202411699674
1855-05-01,-35.18774141478977
1855-06-01,0.7015263060993107
1855-07-01,-4.222665912824368
1855-08-01,-32.46784765064754
1855-09-01,-85.57084603945619
1855-10-01,-6.494324653486146
1855-11-01,-15.21963906950537
1855-12-01,27.675051778160544
1856-01-01,153.4817501348576
1856-02-01,55.49832223995209
1856-03-01,61.569405486113546
1856-04-01,-11.87307831413942
1856-05-01,35.57453627980152
1856-06-01,-80.74731943276936
1856-07-01,-119.16466889931871
1856-08-01,115.91128622046293
1856-09-01,-38.88592502454449
1856-10-01,22.840041234783953
1856-11-01,17.520130602154413
1856-12-01,34.774199368814294
1857-01-01,124.48888072359358
1857-02-01,-7.181002691603229
1857-03-01,26.212116501187218
1857-04-01,0.02587424060860144
1857-05-01,-54.48718369510772
1857-06-01,-126.17172327740496
1857-07-01,-23.214210097603456
1857-08-01,-22.585721372861002
1857-09-01,-47.1072628993286
1857-10-01,31.717929182482862
1857-11-01,127.61582266599267
1857-12-01,18.523009093123257
1858-01-01,46.52606335048628
1858-02-01,61.96387482906369
1858-03-01,32.84296509049679
1858-04-01,54.50014847584238
1858-05-01,31.99425357672925
1858-06-01,64.66385935932729
1858-07-01,-62.71682619849355
1858-08-01,-98.1187293058691
1858-09-01,-103.97853426420917
1858-10-01,16.831626992996647
1858-11-01,36.02263416694257
1858-12-01,34.255352280463896
1859-01-01,38.78099782132573
1859-02-01,76.74673784911892
1859-03-01,-30.233851699991234
1859-04-01,-76.97177489174504
1859-05-01,-19.81165109732825
1859-06-01,18.42200773428334
1859-07-01,-107.67714666572363
1859-08-01,29.221668915234375
1859-09-01,-23.082926369474833
1859-10-01,-34.664383040882
1859-11-01,41.38509849014622
1859-12-01,40.7736689782459
1860-01-01,64.96479467576727
1860-02-01,-0.8710156233042312
1860-03-01,94.32246964053924
1860-04-01,69.49071836370614
1860-05-01,-81.14444923284373
1860-06-01,1.9061454781923146
1860-07-01,73.9105134731762
1860-08-01,50.54294044533145
1860-09-01,-30.91695696111877
1860-10-01,19.178473679982744
1860-11-01,88.60760372600959
1860-12-01,98.09830598822883
1861-01-01,50.36649399379458
1861-02-01,15.54777812635438
1861-03-01,57.1936796075982
1861-04-01,-37.96816840836547
1861-05-01,-112.77059071844525
1861-06-01,-74.48060518016189
1861-07-01,-86.11292687897725
1861-08-01,-119.79099008857636
1861-09-01,-84.51655504551246
1861-10-01,-38.83876125162247
1861-11-01,140.1810553739528
1861-12-01,135.36374920465863
1862-01-01,99.4437248242796
1862-02-01,182.53390471617533
1862-03-01,-19.350631673790033
1862-04-01,-34.253186468039644
1862-05-01,-32.971416474796854
1862-06-01,-71.45023815872372
1862-07-01,-90.0775969461659
1862-08-01,-93.78674724076558
1862-09-01,33.49927813655876
1862-10-01,44.47540944328048
1862-11-01,47.877969099022074
1862-12-01,77.55576091067165
1863-01-01,229.89868714880896
1863-02-01,48.279012022550646
1863-03-01,147.44698032958044
1863-04-01,-13.020383284496859
1863-05-01,-66.20479933637247
1863-06-01,65.3557538065977
1863-07-01,-150.6862689366022
1863-08-01,-83.46973933712573
1863-09-01,-50.305738008676826
1863-10-01,-5.428220621996019
1863-11-01,-17.816774543356004
1863-12-01,38.01787124370927
1864-01-01,135.26779153273873
1864-02-01,86.86589956508286
1864-03-01,-4.664529661799094
1864-04-01,3.6419771261631695
1864-05-01,-39.67107409825749
1864-06-01,-102.65025050208473
1864-07-01,98.58687604997223
1864-08-01,-26.33411831971671
1864-09-01,-64.25744982127088
1864-10-01,22.5718062473279
1864-11-01,15.93051155271149
1864-12-01,20.04770177170804
